n,nnz,npuf,nsyn,wt.pufmin,wt.pufmdn,wt.pufmax,MARS,XTOT,EIC,f6251,f2441,DSI,MIDR,n24,FDED,e00200,e01700,e01500,e02400,e02000,e26270,e19200,p23250,e00900,e18400,e01400,e00600,e00650,e18500,e19800,e17500,e20400,e00300,e02300,e00400,e20100,e09600,e87521,e00700,e03270,e03300,e32800,e87530,e07300,e62900,e24515,e03150,e03210,e03240,e00800,e03500,e09900,e27200,e03230,e24518,e03290,e07400,e58990,e01100,e11200,e07260,e07240,e03220,e07600,e03400,p08000,e09700,e09800,e02100,p22250,e01200,rownum
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,41
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,25800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,42
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,43
2,5,1,1,1425.93,1425.93,1425.93,1,1,0,0,0,0,0,0,2,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,41300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,45
2,5,1,1,30.83,30.83,30.83,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13200,0,0,0,0,0,0,0,0,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2,5,1,1,1272.28,1272.28,1272.28,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,-6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,8960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,12300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2,5,1,1,10.42,10.42,10.42,1,2,0,0,0,0,0,1,2,16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,28900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,29600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,31100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2,5,1,1,1451.65,1451.65,1451.65,1,2,0,0,0,0,0,1,2,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2,5,1,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,38100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
